zB-BC & 0.0310 & 0.0290 & 0.0220 & 0.0200 & 0.0290 & 0.0260 & 1.0424 & 0.2925 & 0.0932 & \\[0.3ex]
R & 0.0220 & 0.0300 & 0.0210 & 0.0180 & 0.0280 & 0.0250 & 1.0704 & 0.2927 & 0.0932 & \\[0.3ex]
BT & 0.0010 & 0.0050 & 0.0110 & 0.0070 & 0.0540 & 0.0330 & 1.7928 & 0.3451 & 0.0950 & \\[0.3ex]
P & 0.0750 & 0.0360 & 0.0240 & 0.0280 & 0.0240 & 0.0250 & 0.9796 & 0.2909 & 0.0932 & \\[0.3ex]
BCa & 0.0360 & 0.0290 & 0.0230 & 0.0210 & 0.0280 & 0.0250 & 1.0680 & 0.2923 & 0.0932 & \\[0.3ex]
DB & 0.0420 & 0.0400 & 0.0200 & 0.0060 & 0.0220 & 0.0220 & 1.2440 & 0.3007 & 0.0932 & \\[0.3ex]
