zB-BC & 0.1390 & 0.0800 & 0.0410 & 0.0130 & 0.0100 & 0.0160 & 0.3112 & 0.0918 & 0.0333 & \\[0.3ex]
R & 0.3120 & 0.1280 & 0.0540 & 0.0100 & 0.0060 & 0.0120 & 0.2765 & 0.0908 & 0.0332 & \\[0.3ex]
BT & 0.0310 & 0.0460 & 0.0310 & 0.0470 & 0.0290 & 0.0300 & 0.5709 & 0.1021 & 0.0345 & \\[0.3ex]
P & 0.1080 & 0.0450 & 0.0330 & 0.0130 & 0.0190 & 0.0220 & 0.2765 & 0.0908 & 0.0332 & \\[0.3ex]
BCa & 0.0500 & 0.0460 & 0.0350 & 0.0420 & 0.0390 & 0.0370 & 0.3595 & 0.0924 & 0.0334 & \\[0.3ex]
DB & 0.0520 & 0.0340 & 0.0320 & 0.0040 & 0.0040 & 0.0180 & 0.3872 & 0.1009 & 0.0340 & \\[0.3ex]
