zB-BC & 0.0310 & 0.0300 & 0.0210 & 0.0260 & 0.0290 & 0.0260 & 0.3623 & 0.0753 & 0.0237 & \\[0.3ex]
R & 0.0240 & 0.0290 & 0.0210 & 0.0370 & 0.0280 & 0.0250 & 0.4083 & 0.0755 & 0.0237 & \\[0.3ex]
BT & 0.0000 & 0.0020 & 0.0110 & 0.1790 & 0.0960 & 0.0380 & 1.9176 & 0.0991 & 0.0243 & \\[0.3ex]
P & 0.0890 & 0.0370 & 0.0240 & 0.0100 & 0.0220 & 0.0250 & 0.2663 & 0.0742 & 0.0236 & \\[0.3ex]
BCa & 0.0400 & 0.0290 & 0.0220 & 0.0270 & 0.0270 & 0.0250 & 0.3473 & 0.0757 & 0.0236 & \\[0.3ex]
DB & 0.0500 & 0.0400 & 0.0200 & 0.0020 & 0.0180 & 0.0220 & 0.3700 & 0.0767 & 0.0237 & \\[0.3ex]
