zB-BC & 0.0460 & 0.0450 & 0.0270 & 0.0290 & 0.0310 & 0.0280 & 1.0668 & 0.3566 & 0.1309 & \\[0.3ex]
R & 0.0390 & 0.0450 & 0.0260 & 0.0420 & 0.0420 & 0.0250 & 1.0826 & 0.3560 & 0.1310 & \\[0.3ex]
BT & 0.0000 & 0.0040 & 0.0110 & 0.0080 & 0.0690 & 0.0550 & 1.8363 & 0.4728 & 0.1381 & \\[0.3ex]
P & 0.0840 & 0.0430 & 0.0300 & 0.0350 & 0.0230 & 0.0230 & 1.0279 & 0.3546 & 0.1309 & \\[0.3ex]
BCa & 0.0490 & 0.0440 & 0.0360 & 0.0240 & 0.0360 & 0.0380 & 1.1023 & 0.3552 & 0.1315 & \\[0.3ex]
DB & 0.0460 & 0.0260 & 0.0280 & 0.0140 & 0.0060 & 0.0180 & 1.2996 & 0.3863 & 0.1335 & \\[0.3ex]
