zB-BC & 0.1090 & 0.0480 & 0.0240 & 0.0290 & 0.0190 & 0.0220 & 0.9849 & 0.2915 & 0.0932 & \\[0.3ex]
R & 0.1870 & 0.0580 & 0.0270 & 0.0360 & 0.0150 & 0.0220 & 0.9796 & 0.2909 & 0.0932 & \\[0.3ex]
BT & 0.0180 & 0.0260 & 0.0210 & 0.0110 & 0.0260 & 0.0250 & 1.6715 & 0.3075 & 0.0938 & \\[0.3ex]
P & 0.0750 & 0.0360 & 0.0240 & 0.0280 & 0.0240 & 0.0250 & 0.9796 & 0.2909 & 0.0932 & \\[0.3ex]
BCa & 0.0360 & 0.0290 & 0.0230 & 0.0210 & 0.0280 & 0.0250 & 1.0680 & 0.2923 & 0.0932 & \\[0.3ex]
DB & 0.0420 & 0.0400 & 0.0200 & 0.0060 & 0.0220 & 0.0220 & 1.2440 & 0.3007 & 0.0932 & \\[0.3ex]
