zB-BC & 0.0480 & 0.0460 & 0.0270 & 0.0440 & 0.0370 & 0.0280 & 0.3738 & 0.0936 & 0.0334 & \\[0.3ex]
R & 0.0390 & 0.0450 & 0.0260 & 0.0680 & 0.0440 & 0.0260 & 0.4047 & 0.0934 & 0.0334 & \\[0.3ex]
BT & 0.0000 & 0.0040 & 0.0090 & 0.2040 & 0.1230 & 0.0710 & 1.9296 & 0.1428 & 0.0360 & \\[0.3ex]
P & 0.1080 & 0.0450 & 0.0330 & 0.0130 & 0.0190 & 0.0220 & 0.2765 & 0.0908 & 0.0332 & \\[0.3ex]
BCa & 0.0500 & 0.0460 & 0.0350 & 0.0420 & 0.0390 & 0.0370 & 0.3595 & 0.0924 & 0.0334 & \\[0.3ex]
DB & 0.0520 & 0.0340 & 0.0320 & 0.0040 & 0.0040 & 0.0180 & 0.3872 & 0.1009 & 0.0340 & \\[0.3ex]
