zB-BC & 0.0610 & 0.0530 & 0.0480 & 0.0930 & 0.0560 & 0.0400 & 3.1257 & 1.3576 & 0.4661 & \\[0.3ex]
R & 0.1240 & 0.0950 & 0.0550 & 0.1760 & 0.0900 & 0.0560 & 2.9726 & 1.3303 & 0.4619 & \\[0.3ex]
BT & 0.0500 & 0.0380 & 0.0380 & 0.0700 & 0.0410 & 0.0390 & 3.9890 & 1.5622 & 0.4848 & \\[0.3ex]
P & 0.0270 & 0.0270 & 0.0360 & 0.0360 & 0.0300 & 0.0270 & 2.9726 & 1.3303 & 0.4619 & \\[0.3ex]
BCa & 0.0180 & 0.0200 & 0.0310 & 0.0640 & 0.0400 & 0.0300 & 2.9720 & 1.3184 & 0.4620 & \\[0.3ex]
DB & 0.0240 & 0.0200 & 0.0360 & 0.0260 & 0.0220 & 0.0340 & 3.1352 & 1.3415 & 0.4557 & \\[0.3ex]
