zB-BC & 0.0350 & 0.0300 & 0.0300 & 0.0550 & 0.0410 & 0.0450 & 1.2544 & 0.3910 & 0.1233 & \\[0.3ex]
R & 0.0430 & 0.0410 & 0.0320 & 0.1610 & 0.0740 & 0.0560 & 1.2110 & 0.3864 & 0.1230 & \\[0.3ex]
BT & 0.0440 & 0.0340 & 0.0310 & 0.0360 & 0.0290 & 0.0400 & 1.4604 & 0.4147 & 0.1257 & \\[0.3ex]
P & 0.0360 & 0.0200 & 0.0220 & 0.0240 & 0.0190 & 0.0370 & 1.2110 & 0.3864 & 0.1230 & \\[0.3ex]
BCa & 0.0250 & 0.0170 & 0.0200 & 0.0550 & 0.0250 & 0.0390 & 1.0824 & 0.3802 & 0.1230 & \\[0.3ex]
DB & 0.0340 & 0.0220 & 0.0240 & 0.0220 & 0.0240 & 0.0260 & 1.2818 & 0.3944 & 0.1222 & \\[0.3ex]
