zB-BC & 0.0420 & 0.0430 & 0.0330 & 0.0460 & 0.0300 & 0.0230 & 1.4740 & 0.4833 & 0.1568 & \\[0.3ex]
R & 0.0930 & 0.0560 & 0.0380 & 0.0960 & 0.0520 & 0.0310 & 1.4377 & 0.4791 & 0.1559 & \\[0.3ex]
BT & 0.0430 & 0.0440 & 0.0350 & 0.0460 & 0.0320 & 0.0250 & 1.7235 & 0.5088 & 0.1604 & \\[0.3ex]
P & 0.0280 & 0.0250 & 0.0300 & 0.0320 & 0.0180 & 0.0170 & 1.4377 & 0.4791 & 0.1559 & \\[0.3ex]
BCa & 0.0230 & 0.0230 & 0.0270 & 0.0650 & 0.0220 & 0.0190 & 1.4103 & 0.4726 & 0.1558 & \\[0.3ex]
DB & 0.0280 & 0.0220 & 0.0360 & 0.0260 & 0.0200 & 0.0240 & 1.5413 & 0.4840 & 0.1558 & \\[0.3ex]
