zB-BC & 0.0425 & 0.0258 & 0.0232 & 0.0463 & 0.0245 & 0.0284 & 1.3638 & 0.4934 & 0.1593 & \\[0.3ex]
R & 0.0405 & 0.0249 & 0.0229 & 0.0434 & 0.0236 & 0.0283 & 1.3577 & 0.4936 & 0.1593 & \\[0.3ex]
BT & 0.0299 & 0.0283 & 0.0239 & 0.0308 & 0.0272 & 0.0297 & 1.7784 & 0.5028 & 0.1596 & \\[0.3ex]
P & 0.0488 & 0.0278 & 0.0233 & 0.0524 & 0.0264 & 0.0287 & 1.3577 & 0.4936 & 0.1593 & \\[0.3ex]
BCa & 0.0566 & 0.0317 & 0.0240 & 0.0608 & 0.0304 & 0.0297 & 1.3874 & 0.4945 & 0.1593 & \\[0.3ex]
DB & 0.0320 & 0.0300 & 0.0180 & 0.0320 & 0.0140 & 0.0160 & 1.6648 & 0.5049 & 0.1615 & \\[0.3ex]
