zB-BC & 0.0370 & 0.0390 & 0.0310 & 0.0520 & 0.0320 & 0.0250 & 1.6145 & 0.5233 & 0.1706 & \\[0.3ex]
R & 0.0620 & 0.0460 & 0.0340 & 0.1270 & 0.0610 & 0.0320 & 1.6099 & 0.5232 & 0.1700 & \\[0.3ex]
BT & 0.0420 & 0.0440 & 0.0350 & 0.0430 & 0.0320 & 0.0250 & 1.8878 & 0.5503 & 0.1742 & \\[0.3ex]
P & 0.0300 & 0.0250 & 0.0300 & 0.0280 & 0.0180 & 0.0170 & 1.6099 & 0.5232 & 0.1700 & \\[0.3ex]
BCa & 0.0240 & 0.0230 & 0.0270 & 0.0620 & 0.0220 & 0.0190 & 1.4846 & 0.5150 & 0.1698 & \\[0.3ex]
DB & 0.0260 & 0.0220 & 0.0360 & 0.0240 & 0.0200 & 0.0240 & 1.6922 & 0.5299 & 0.1689 & \\[0.3ex]
