zB-BC & 0.0470 & 0.0258 & 0.0263 & 0.0493 & 0.0287 & 0.0273 & 1.1323 & 0.3889 & 0.1238 & \\[0.3ex]
R & 0.0481 & 0.0255 & 0.0262 & 0.0498 & 0.0285 & 0.0275 & 1.1275 & 0.3890 & 0.1239 & \\[0.3ex]
BT & 0.0244 & 0.0236 & 0.0260 & 0.0264 & 0.0266 & 0.0273 & 1.4756 & 0.3960 & 0.1241 & \\[0.3ex]
P & 0.0491 & 0.0258 & 0.0265 & 0.0511 & 0.0283 & 0.0277 & 1.1275 & 0.3890 & 0.1239 & \\[0.3ex]
BCa & 0.0513 & 0.0261 & 0.0265 & 0.0521 & 0.0287 & 0.0271 & 1.1471 & 0.3892 & 0.1239 & \\[0.3ex]
DB & 0.0320 & 0.0200 & 0.0340 & 0.0300 & 0.0220 & 0.0260 & 1.3571 & 0.3925 & 0.1241 & \\[0.3ex]
