zB-BC & 0.0134 & 0.0117 & 0.0198 & 0.1318 & 0.0493 & 0.0304 & 1.0126 & 0.3834 & 0.1237 & \\[0.3ex]
R & 0.0112 & 0.0094 & 0.0192 & 0.1506 & 0.0550 & 0.0327 & 1.0016 & 0.3831 & 0.1237 & \\[0.3ex]
BT & 0.0098 & 0.0202 & 0.0239 & 0.0468 & 0.0281 & 0.0247 & 1.5048 & 0.4023 & 0.1244 & \\[0.3ex]
P & 0.0186 & 0.0157 & 0.0208 & 0.1204 & 0.0436 & 0.0282 & 1.0016 & 0.3831 & 0.1237 & \\[0.3ex]
BCa & 0.0280 & 0.0241 & 0.0239 & 0.0958 & 0.0318 & 0.0249 & 1.0578 & 0.3892 & 0.1239 & \\[0.3ex]
DB & 0.0080 & 0.0100 & 0.0140 & 0.0720 & 0.0340 & 0.0280 & 1.2321 & 0.3923 & 0.1236 & \\[0.3ex]
