zB-BC & 0.0480 & 0.0390 & 0.0330 & 0.0460 & 0.0350 & 0.0190 & 1.6261 & 0.5140 & 0.1630 & \\[0.3ex]
R & 0.0840 & 0.0650 & 0.0460 & 0.0770 & 0.0530 & 0.0230 & 1.6270 & 0.5076 & 0.1624 & \\[0.3ex]
BT & 0.0500 & 0.0360 & 0.0330 & 0.0480 & 0.0300 & 0.0180 & 1.8257 & 0.5439 & 0.1661 & \\[0.3ex]
P & 0.0310 & 0.0230 & 0.0300 & 0.0320 & 0.0270 & 0.0100 & 1.6270 & 0.5076 & 0.1624 & \\[0.3ex]
BCa & 0.0230 & 0.0190 & 0.0280 & 0.0560 & 0.0320 & 0.0100 & 1.5774 & 0.5023 & 0.1620 & \\[0.3ex]
DB & 0.0280 & 0.0200 & 0.0320 & 0.0300 & 0.0200 & 0.0080 & 1.7430 & 0.5153 & 0.1656 & \\[0.3ex]
