zB-BC & 0.0444 & 0.0284 & 0.0265 & 0.0470 & 0.0253 & 0.0250 & 2.0913 & 0.7022 & 0.2233 & \\[0.3ex]
R & 0.0511 & 0.0286 & 0.0262 & 0.0537 & 0.0258 & 0.0251 & 2.0815 & 0.7023 & 0.2234 & \\[0.3ex]
BT & 0.0132 & 0.0249 & 0.0259 & 0.0133 & 0.0222 & 0.0244 & 2.7380 & 0.7156 & 0.2237 & \\[0.3ex]
P & 0.0407 & 0.0282 & 0.0264 & 0.0434 & 0.0256 & 0.0246 & 2.0815 & 0.7023 & 0.2234 & \\[0.3ex]
BCa & 0.0320 & 0.0276 & 0.0263 & 0.0345 & 0.0243 & 0.0249 & 2.1067 & 0.7025 & 0.2234 & \\[0.3ex]
DB & 0.0180 & 0.0260 & 0.0420 & 0.0300 & 0.0220 & 0.0420 & 2.4841 & 0.7077 & 0.2221 & \\[0.3ex]
