zB-BC & 0.0206 & 0.0166 & 0.0218 & 0.0936 & 0.0392 & 0.0309 & 1.3046 & 0.4711 & 0.1517 & \\[0.3ex]
R & 0.0184 & 0.0140 & 0.0202 & 0.1013 & 0.0422 & 0.0326 & 1.2961 & 0.4712 & 0.1518 & \\[0.3ex]
BT & 0.0145 & 0.0242 & 0.0250 & 0.0441 & 0.0291 & 0.0271 & 1.7483 & 0.4851 & 0.1523 & \\[0.3ex]
P & 0.0254 & 0.0199 & 0.0234 & 0.0883 & 0.0359 & 0.0295 & 1.2961 & 0.4712 & 0.1518 & \\[0.3ex]
BCa & 0.0350 & 0.0271 & 0.0252 & 0.0779 & 0.0311 & 0.0270 & 1.3310 & 0.4741 & 0.1519 & \\[0.3ex]
DB & 0.0160 & 0.0180 & 0.0300 & 0.0620 & 0.0300 & 0.0300 & 1.5724 & 0.4840 & 0.1515 & \\[0.3ex]
